sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
I heard a loud noise last night .,The noise woke me up from sleeping.,I went over and ask him to turn the music down.,I went outside to see where the noise was coming from.,It was coming from my next door neighbor's house.,"sleeping,turn,woke,see,ask",music,2.0,"sleeping,turn,woke,see,askmusic"
He was swimming with his friends.,They played many games in the water.,Then they took a break and ate.,[NEUTRAL] had so much fun .,[NEUTRAL] went to the pool .,played,"break, fun",2.0,"playedbreak, fun"
He gave it a bone for a treat.,"The dog fell asleep , and [NEUTRAL] went to bed .",He played with the dog and showed it a dog bed.,He brought the dog home and fed it.,[NEUTRAL] adopted a dog from the pound one day .,"adopted,fed,showed,brought,fell,played","fell, pound",1.0,"adopted,fed,showed,brought,fell,playedfell, pound"
But she was no longer welcome in the group.,[NEUTRAL] sat on her school bus in a window seat .,She watched as her old friends walked out of the school together.,They stopped at the door and chatted for awhile.,[NEUTRAL] wanted to chat as well .,"chat,chatted,watched,stopped,sat,walked",,1.0,"chat,chatted,watched,stopped,sat,walked"
[NEUTRAL] needed her room painted .,He worked all day and all night to get the room done .,She called her son [NEUTRAL] to come over to paint the room .,[NEUTRAL] was happy when she saw the job he had done .,[NEUTRAL] picked out a beautiful color .,"paint,called,picked,worked,saw","happy, beautiful",2.0,"paint,called,picked,worked,sawhappy, beautiful"
He ran laps every day with his friends .,Cory did much better than he expected.,He still wasn't sure how his performance would compare.,Cory had only been on the track team for a few weeks .,Cory had his first track meet today .,"compare,expected",,2.0,"compare,expected"
It made me happy to finally catch a fish.,We lived in the city and did not go anywhere.,When I had kids we lived by a pond.,I bought a fishing rod and helped my son catch a fish.,I never went fishing as a child.,"lived,catch,helped","rod, catch, child",0.0,"lived,catch,helpedrod, catch, child"
"Well , one day we saw our neighbor in the store , being quite pregnant .","Her plan worked, as my fear of getting huge stopped my nasty habit.",My mom told me if I continued doing this it would make me really fat.,"I pointed at her belly, saying I knew what she had been doing!",When I was little I used to chew my fingernails as a habit.,"pointed,chew,continued,used,stopped,knew,worked,saying","fear, nasty, fat",2.0,"pointed,chew,continued,used,stopped,knew,worked,sayingfear, nasty, fat"
She moved in with him and I moved in with my grandparents.,My grandparents called to talk to my mom.,I cried until my nose bled.,We had been staying with my aunt and uncle.,One night my mom told me that we were moving in with her boyfriend .,"bled,cried,talk,staying,moving,called",nose,1.0,"bled,cried,talk,staying,moving,callednose"
There was a guy mowing the lawn.,He walked to the park.,He waved at [NEUTRAL] .,[NEUTRAL] went for a walk .,[NEUTRAL] waved back .,"waved,walked",,2.0,"waved,walked"
The winds were so strong.,I was driving home right in the middle of it.,It was raining so heavy.,Did you hear the horrible storm last night ?,I was happy to make it home.,"raining,hear,driving","horrible, storm, happy",0.0,"raining,hear,drivinghorrible, storm, happy"
She has her car in the shop every month it seems .,[NEUTRAL] 's old car broke down again .,This time it would cost way too much to fix it.,[NEUTRAL] now drives a brand new car !,There was only one thing to do .,"cost,fix,broke,drives",broke,2.0,"cost,fix,broke,drivesbroke"
The wheel came off and I lost control of the wagon.,One of the wheels started to make a noise .,I decided that I would never race my wagon down the hill again.,Yesterday I was racing my wagon down the hill .,I landed safely in a patch of green grass.,"racing,landed,started",green,2.0,"racing,landed,startedgreen"
Lewy wanted to build a snowman.,He went outside and started rolling snow.,Soon he had a snowman.,Lewy found some green paint.,Soon he had a green snowman.,"rolling,started","found, green, green",0.0,"rolling,startedfound, green, green"
"Afterward, I read a book on the bench outside.","We had dinner, watched tv, and went to bed.","While breakfasting, I read the news and listened to music.",My day began with a quick breakfast of oatmeal and coffee.,My wife came back from work in the late day .,"breakfasting,listened,read,watched,began","music, late",2.0,"breakfasting,listened,read,watched,beganmusic, late"
"One time , I had too many things in my hands .",I dropped the milk.,The milk spilled all over the walls and floor.,I used to try to carry all the groceries into the house in one trip .,I learned my lesson to take more than one trip next time .,"carry,spilled,dropped,learned,used,try","trip, trip",1.0,"carry,spilled,dropped,learned,used,trytrip, trip"
His mom drove him to the emergency room.,Luke was climbing a tree when he fell .,They took x-rays and told him it was broken.,They put a cost on it and sent him home.,Several weeks later the cast was off and he was back to climbing .,"sent,climbing,broken,fell,put","tree, fell, broken",2.0,"sent,climbing,broken,fell,puttree, fell, broken"
But when we had the drops I was screaming.,I didn't want to go back on it.,At first the ride was slow .,The ride was very scary.,At magic kingdom I went on splash mountain .,,splash,2.0,splash
[NEUTRAL] likes to go fishing for catfish on the lake banks .,That fish was the biggest fish he ever caught!,[NEUTRAL] fought with it for over an hour .,"One night after a storm , he went fishing alone .",A huge fish got on the line!,"fishing,caught",storm,2.0,"fishing,caughtstorm"
[NEUTRAL] has a cat she loves more than anything .,She gets a cat sitter to watch her cat.,When [NEUTRAL] comes back from vacation her cat is gone .,[NEUTRAL] 's cat was stolen !,She is going on vacation and has to leave her cat behind.,"stolen,watch,leave","watch, vacation, stolen, vacation, leave",0.0,"stolen,watch,leavewatch, vacation, stolen, vacation, leave"
I realized that fall was my favorite season.,"Luckily, fall was just around the corner.",The summer was brutally hot !,I lived in Arizona .,The fall this year was cool and crisp with beautiful colors .,lived,"fall, hot, fall, beautiful",0.0,"livedfall, hot, fall, beautiful"
I took my dog to the dog park today .,I was starting to get bored of watching dogs run around.,My dog whined when we left.,I decided that it was time to leave the dog park.,My dog ran around and played with all the other dogs.,"whined,bored,watching,left,leave,starting,ran,run,played",leave,1.0,"whined,bored,watching,left,leave,starting,ran,run,playedleave"
They finally went on a date.,Not long after they were married!,He really liked her too.,April was in love with [NEUTRAL] .,He thought she was too young for him.,"married,liked,thought","liked, love, young",0.0,"married,liked,thoughtliked, love, young"
He climbed the ladder to get to the top.,Pete straight to the high dive in pool yard.,He closed his eyes and jumped.,The dive seemed much higher when he was on top.,[NEUTRAL] made a huge splash and got everyone wet .,"straight,seemed,closed,jumped",splash,2.0,"straight,seemed,closed,jumpedsplash"
[NEUTRAL] loved the moonlight .,[NEUTRAL] was sad .,One day the moon did not come out .,He drew the moon on the wall and was happy from then on.,He sat by the window every night .,"drew,sat",happy,2.0,"drew,sathappy"
I poured the batter into a tray.,I put the tray into the oven to cook.,I went to the kitchen and grabbed brownie mix.,I grabbed other ingredients to add to the mix.,I mixed the ingredients into a bowl.,"mixed,add,cook,grabbed,put",,2.0,"mixed,add,cook,grabbed,put"
He picked the phone up and walked home sadly.,His phone screen had cracked.,[NEUTRAL] went to the store and bought a phone .,He ran too fast and dropped his phone.,He was very excited and began to run home.,"cracked,dropped,began,ran,run","cracked, excited",2.0,"cracked,dropped,began,ran,runcracked, excited"
She even volunteered to do extra chores for a week .,She immediately asked her mom to buy her one.,[NEUTRAL] saw Someone flying a kite at the park one day .,[NEUTRAL] 's mom took her to pick out the kite she wanted .,She decided on a purple one that looked like a giant squid.,"flying,pick,asked,looked,saw","flying, kite, kite, like, giant",2.0,"flying,pick,asked,looked,sawflying, kite, kite, like, giant"
He hung up because nobody answered the phone.,It was written in the cover.,He called the number hoping to speak to Someone.,One day [NEUTRAL] found a phone number in a book .,The phone rang and rang.,"speak,hoping,written,called",found,2.0,"speak,hoping,written,calledfound"
[NEUTRAL] had been asking his parents for a cat for weeks .,"When they brought it back , [NEUTRAL] took a nap with it .",[NEUTRAL] and his parents found a cat online and picked it up .,"When [NEUTRAL] woke up , the cat was nowhere to be found anywhere .","Finally , his parents told him they could get one kitten .","brought,woke,picked","nap, found, found, kitten",0.0,"brought,woke,pickednap, found, found, kitten"
His parents found out and he got in trouble.,[NEUTRAL] knew his bedtime was at nine .,Now his bedtime is at eight .,There was a show he wanted to watch at ten .,He tried to stay up.,"stay,watch,knew,tried",watch,2.0,"stay,watch,knew,triedwatch"
Our son went to pick it up and the clerk said to come back in 3 days .,My son yelled at him and he found the rug.,Our 2 year old granddaughter and her parents are coming from NYC .,She paid for the rug on Wednesday and said she would pick it up later .,My wife decided to buy a new rug.,"yelled,paid,pick,said",found,2.0,"yelled,paid,pick,saidfound"
"He walked passed the neighbors house and waved to [NEUTRAL] , the neighbor .",He walked passed the park and the little creek in front of the park.,Rowan walked happily down the block .,It was the last day of school and he was walking home finally .,"Finally , he reached home and was ready to start summer vacation .","reached,passed,start,walked,walking","happily, finally, vacation",2.0,"reached,passed,start,walked,walkinghappily, finally, vacation"
[NEUTRAL] was at a party .,A cute girl took him by the hand and made him dance.,[NEUTRAL] started to dance with her and liked it .,He didn't know how to dance.,Everybody was dancing but him.,"dancing,dance,liked,know,started","dance, dance, liked, dance",2.0,"dancing,dance,liked,know,starteddance, dance, liked, dance"
She is now back in bed.,I took her to the kitchen for a snack.,We had milk and cookies.,She told me she was hungry.,[NEUTRAL] woke up at midnight .,woke,,2.0,woke
He then pretended that he was a bandit in the old west.,Jake was wearing a bandana while doing yardwork.,He had so much fun he forgot to clean the yard after that.,He put the bandana over his mouth to keep out the dust.,Jake rode his rake around the yard like it was a horse.,"rode,wearing,clean,forgot,keep,put","fun, clean, mouth, like",2.0,"rode,wearing,clean,forgot,keep,putfun, clean, mouth, like"
When it came time to check out he asked if they could buy it.,"Luckily, Someone behind them offered to buy it for him.",His mom said no because they couldn't afford it.,He noticed a book that he really liked and began reading it.,[NEUTRAL] was at the store with his mom .,"afford,offered,reading,noticed,began,liked,said",liked,1.0,"afford,offered,reading,noticed,began,liked,saidliked"
They watched the movie together.,She went home to watch it alone.,She bought her favorite movie.,Her man called to apologize.,The woman had her heart broke.,"apologize,watch,broke,called","watch, favorite, apologize, broke",0.0,"apologize,watch,broke,calledwatch, favorite, apologize, broke"
[NEUTRAL] took an order for a young man who came into the restaurant .,"Before he left , he thanked [NEUTRAL] and asked him to look at his napkin .",He found out that there was $ 100 behind the napkin .,[NEUTRAL] searched for the napkin on the table .,[NEUTRAL] was able to fill his car gas and pay a bill with the money .,"searched,thanked,fill,pay,left,asked,look","napkin, found, napkin, napkin, pay, money",2.0,"searched,thanked,fill,pay,left,asked,looknapkin, found, napkin, napkin, pay, money"
He went to the dentist to have it checked out.,The dentist told [NEUTRAL] he needed to brush his teeth more .,Jim had a toothache for a week .,The dentist said that he would have to pull the tooth.,"After the tooth was pulled , [NEUTRAL] was in no more pain .","brush,pull,pulled,needed,said","toothache, pain",2.0,"brush,pull,pulled,needed,saidtoothache, pain"
[NEUTRAL] got right on the starburst ride .,[NEUTRAL] screamed .,She wanted the ride to be over.,The ride started going up in the air.,She was very scared.,"screamed,started",,2.0,"screamed,started"
"We visited the coast, went to a bar and had a lot of fun.",I picked him up in Martinez and we drove back to Vallejo .,I had a lot of fun with him. s.,My friend [NEUTRAL] came to visit me this past weekend .,"He went home on Sunday , and rode the Amtrak .","rode,visit,picked,drove","fun, friend",2.0,"rode,visit,picked,drovefun, friend"
After answering the questions [NEUTRAL] is given a prize .,[NEUTRAL] was walking down the street minding her own business .,When a gentleman stopped her on the street.,He asked her a few questions about herself.,[NEUTRAL] took her prize home and shared it with the family .,"minding,shared,stopped,walking,asked",,2.0,"minding,shared,stopped,walking,asked"
She got to work making her own bird treats.,Jill saw a woman make bird treats on TV.,She returned to see her son licking peanut butter from the cones.,Jill went to the garage to get bird seed to sprinkle on them.,She made a pan of pine cones spread with peanut butter.,"spread,sprinkle,licking,returned,see,saw",pine,1.0,"spread,sprinkle,licking,returned,see,sawpine"
It was rock candy he bought at the store.,He carried them around all the time.,One day he pop one in his mouth and ate it .,[NEUTRAL] has a sack full of rocks .,His mom was worried he did Something horrible.,"pop,worried,carried,Something,ate","pop, mouth, worried, horrible",2.0,"pop,worried,carried,Something,atepop, mouth, worried, horrible"
She went to check what it was.,She did not know what it was.,[NEUTRAL] [NEUTRAL] [NEUTRAL] in her yard .,The music was amazing.,It turned out to be music.,"amazing,turned,know","music, music",2.0,"amazing,turned,knowmusic, music"
"Instead of a horse, her mother got her riding lessons as a gift.",Cate decided to ask for a horse for her birthday.,"At first , Cate was disappointed about not getting a horse .",But after some lessons she knew there was a lot to learn about horses.,Cate always wanted to learn how to ride a horse.,"disappointed,ride,learn,knew,ask","birthday, disappointed",2.0,"disappointed,ride,learn,knew,askbirthday, disappointed"
On weekdays his dad is busy.,They have a wonderful Saturday together .,Johnny loves playing catch with his dad.,[NEUTRAL] and his dad go outside to play catch .,Finally it is Saturday !,"catch,playing,play,loves","wonderful, catch, catch",2.0,"catch,playing,play,loveswonderful, catch, catch"
When the book arrived he opened the package with excitement.,[NEUTRAL] cleared a new space for his new book .,He flipped through the book for a while.,"When he wa done, he brought the book to his bookshelf.",[NEUTRAL] bought a new book online .,"wa,flipped,cleared,brought",,2.0,"wa,flipped,cleared,brought"
Esther was just way too stubborn to ask for directions.,So now she lives with [NEUTRAL] [NEUTRAL] in a Trap House .,"She took the wrong exit a little too east , ending up in Compton .",She was clearly lost.,Esther was on her way to downtown LA .,"downtown,lives,lost,ending",lost,2.0,"downtown,lives,lost,endinglost"
"After the day was over , he thank me for the time I spent with him .",He wanted to visit all the animals.,My heart was full for joyed.,My five years old son and I went to the zoo .,He fed the birds and the elephants from a distance.,"fed,visit",,2.0,"fed,visit"
[NEUTRAL] made a snowman .,[NEUTRAL] played in the snow .,[NEUTRAL] went outside .,[NEUTRAL] liked playing in the snow .,It was snowing outside [NEUTRAL] 's house one day .,"snowing,liked,playing,played",liked,2.0,"snowing,liked,playing,playedliked"
"Unfortunately, it was very hard and my knife slipped.",I threw the squash away and ordered a pizza instead.,It tried to cut it so I could cook it.,I bought a spaghetti squash to cook for dinner.,It cut my hand very badly.,"ordered,cut,cook,threw,tried",badly,2.0,"ordered,cut,cook,threw,triedbadly"
It was [NEUTRAL] 's 16th birthday,They awoke him to the sound of propellers.,His family wanted to do Something special for him.,A pilot took him on a helicopter over town for his birthday.,A helicopter had landed in his front yard.,"awoke,landed","special, birthday",2.0,"awoke,landedspecial, birthday"
And her eyes felt better.,"From then on , [NEUTRAL] ate a carrot every day .",So she decided to eat a carrot.,And here vision was blurry.,Erin 's eyes felt tired .,"felt,eat,ate",,2.0,"felt,eat,ate"
I asked why he didn't pick it up.,He said people were paid to pick it up.,I was at the movies with my friend.,We were seeing Spiderman 3 .,He left his drink on the floor.,"paid,pick,seeing,left,said",friend,2.0,"paid,pick,seeing,left,saidfriend"
[NEUTRAL] never wanted it to end .,The girl had told [NEUTRAL] they were better off friends .,2 Months later he gets a phone call .,[NEUTRAL] was dating a beautiful model .,Jerry cried himself to sleep.,"dating,cried,sleep",beautiful,2.0,"dating,cried,sleepbeautiful"
[NEUTRAL] had been swimming for hours .,All [NEUTRAL] wanted was to go home and sleep .,She hadn't told her grandma she was going to the pool.,"But she knew she better wait till she was dry, or get in trouble.",It was getting dark and time to go home.,knew,dark,2.0,knewdark
They went down into the cavern with the tour guide.,They asked for two child volunteers to come forward .,They demonstrated how some people get married down in the cavern.,"As kids, they went on vacation and stopped at Howe's Cavern.",[NEUTRAL] was volunteered and another girl came forward as well .,"demonstrated,volunteered,married,stopped,asked","child, vacation",2.0,"demonstrated,volunteered,married,stopped,askedchild, vacation"
Alice began to run home.,It was sunny when [NEUTRAL] went for an afternoon walk .,She wore light clothing because it was very hot.,Alice was soaked by the time she arrived home.,During her walk it began to rain unexpectedly.,"soaked,rain,wore,arrived,began","sunny, hot, unexpectedly",2.0,"soaked,rain,wore,arrived,begansunny, hot, unexpectedly"
He taught him to be careful,The boy remembers this forever.,He taught him to get a close shave.,The dad wanted to teach his son to shave.,There was a dad and son.,"shave,remembers,teach,taught","boy, teach",2.0,"shave,remembers,teach,taughtboy, teach"
He arrived in Italy in under a day .,He had left Spain on a high speed train .,Neil was on his way to Italy .,The train was so fast!,Neil could n't believe how quickly he had traveled !,"traveled,believe,left",,2.0,"traveled,believe,left"
I talked to him a little about my dad.,"I said I was sorry we were never close, and walked away.",I went to visit my father's grave.,Afterward he went back to the car and I talked to dad alone for awhile.,My son put flowers beside it.,"sorry,dad,visit,talked,said,walked,put",grave,1.0,"sorry,dad,visit,talked,said,walked,putgrave"
[NEUTRAL] ran them over to him .,[NEUTRAL] was doing crafts at school .,Along the way [NEUTRAL] fell over .,A friend asked for the scissors.,He fell on the scissors and cut himself.,"cut,fell,asked","fell, friend, fell",0.0,"cut,fell,askedfell, friend, fell"
Alex prays for help .,"[NEUTRAL] , his friend , is constantly arguing with him about it .",One day they get stuck in a forest .,[NEUTRAL] believes that god is real .,"Help soon arrives, saving them from the endeavour.","arguing,believes,stuck,saving,arrives","friend, god",2.0,"arguing,believes,stuck,saving,arrivesfriend, god"
He did not have a lot of money.,[NEUTRAL] wanted some new jeans .,"However, they faded easily in the wash.",He finally just bought a 30 dollar pair and the lasted a long time .,He found some cheap ones for 10 dollars .,"lasted,faded","finally, found",2.0,"lasted,fadedfinally, found"
[NEUTRAL] called her friend and invited her to the park for a picnic .,She packed her picnic basket with food for the both of them.,They cleaned their mess and decided to go for a walk.,"They walked the trail after dinner, and talked about life.",They met at the park and ate at the picnic table.,"packed,met,talked,cleaned,walked","picnic, food, mess, picnic",2.0,"packed,met,talked,cleaned,walkedpicnic, food, mess, picnic"
He took a picture of her.,The woman saw him do it.,The man went to a park.,The woman was beautiful.,He saw a woman there.,saw,beautiful,2.0,sawbeautiful
[NEUTRAL] 's sister watched the kids until she got home .,Pam asked her sister to pick the kids up.,She had gone shopping.,Pam was still in town when the kids got off of school.,[NEUTRAL] 's kids were in school .,"pick,asked",shopping,2.0,"pick,askedshopping"
"When she got home , [NEUTRAL] stuck the doll in the closet .",Amy saw that most of the kids barely looked at the doll .,Amy could n't wait to bring her doll to show and tell .,She watched as the doll was passed around the room.,She told the class how much she loved her pretty doll.,"passed,show,watched,bring,wait,looked,loved,saw","doll, doll, doll, loved, pretty, doll",2.0,"passed,show,watched,bring,wait,looked,loved,sawdoll, doll, doll, loved, pretty, doll"
One thing I do is clean the floors .,"Then, I mop the floors with hot water and soap.","Finally, I wait for the floors to dry.",I sweep the floors with a broom.,I have to do most of the cleaning at my house.,"mop,sweep,dry,wait",hot,2.0,"mop,sweep,dry,waithot"
He still hit more than anybody.,He joined the yankees.,The yankees won more game.,[NEUTRAL] [NEUTRAL] could hit more homers than anyone .,Homers win games.,"joined,win,won,hit",hit,2.0,"joined,win,won,hithit"
Last week I broke a bottle .,I thought I cleaned it all up.,It got stuck in my foot.,It was an accident in the living room,Last night I stepped on glass .,"stepped,stuck,cleaned,thought",accident,2.0,"stepped,stuck,cleaned,thoughtaccident"
He decided he would work with it and still play.,He ended up puking on the field,He did not tell anyone.,Greg had a soccer game,"The day before the game , he got very sick","puking,ended",sick,2.0,"puking,endedsick"
She told me that she might be late since she's in traffic.,"At the same time , I noticed that [NEUTRAL] was eating food with somebody .","Once I arrived at this special restaurant, I took my order.",I called [NEUTRAL] to ask if our plans tonight are still there .,I decided to go out for food while waiting for her.,"tonight,noticed,arrived,waiting,called,eating,ask","food, special, food",2.0,"tonight,noticed,arrived,waiting,called,eating,askfood, special, food"
The school was offering an art class on Saturdays .,"[NEUTRAL] thought it was a good idea , and signed up for the class , too .",[NEUTRAL] loved to draw different types of comic book heroes .,[NEUTRAL] decided to sign up for the art class .,"His friend , [NEUTRAL] , liked to draw scenes about boats .","draw,sign,signed,liked,thought,loved","good, loved, art, friend, liked",2.0,"draw,sign,signed,liked,thought,lovedgood, loved, art, friend, liked"
[NEUTRAL] was relieved and happy to hear that from the doctor .,[NEUTRAL] was walking in his farm when he felt some pinch on his leg .,He then saw a snake nearby and thought it was a snake bite.,[NEUTRAL] got scared and rushed to the nearest hospital .,The doctor said it was just an insect bite and not a snake.,"rushed,felt,thought,said,walking,saw","snake, snake, hospital, snake",2.0,"rushed,felt,thought,said,walking,sawsnake, snake, hospital, snake"
"Luckily , [NEUTRAL] landed on some bushes and softened her fall .",The distance to the ground was Something like ten feet .,[NEUTRAL] was playing with her friends near a rock wall .,"Suddenly , [NEUTRAL] slipped and fell .",They were pretending to be animals and crawling along the rocks.,"crawling,pretending,slipped,Something,fell,playing","like, fell, pretending",2.0,"crawling,pretending,slipped,Something,fell,playinglike, fell, pretending"
As soon as I opened the container it smelled terrible.,The milk had spoiled.,I tried to make a bowl of cereal this morning .,Now I have to go buy more.,I poured out the cereal and went for the milk.,"spoiled,poured,tried",,2.0,"spoiled,poured,tried"
He ordered his favorite sandwich.,When he handed the coupon to the clerk she said it was expired.,Lou had a coupon to a sandwich place.,He liked it but didn't go often because it was a bit expensive.,He was too embarrassed not to go ahead and pay full price.,"expired,handed,pay,liked,said","liked, pay",2.0,"expired,handed,pay,liked,saidliked, pay"
[NEUTRAL] washed the dog and it smelled nice .,She got some nice shampoo.,[NEUTRAL] 's dog was really stinky .,But [NEUTRAL] was out of shampoo .,So she went to the store and bought some.,,,2.0,
"When she opened them again, they were high in the clouds.","After checking in, she and her family were seated on the plane.","The plane was about to take off , and [NEUTRAL] was nervous .","As the plane picked up speed, she closed her eyes.",It was [NEUTRAL] 's first time on a plane .,"seated,closed,checking,picked",nervous,2.0,"seated,closed,checking,pickednervous"
He filled his dumptrucks up with dirt.,Dustin loved to play in the dirt.,Then he would dump them on his head.,[NEUTRAL] 's mom was always yelling at him for making such a mess .,When [NEUTRAL] was down he went straight to the tub to get clean .,"dump,yelling,play,loved","loved, dirt, mess, clean",0.0,"dump,yelling,play,lovedloved, dirt, mess, clean"
A kid zipper up my zipper.,I had on a coat.,My lip was stuck in the zipper.,My lips were bleeding.,I was at school.,"bleeding,stuck",bleeding,2.0,"bleeding,stuckbleeding"
All of [NEUTRAL] 's friends at school drive their own cars .,Finally he has enough money to buy a car.,He feels ashamed that he doesn't have a car of his own.,Seth is happy that he finally has a car like all his friends.,Seth works very hard to save money for a car.,"ashamed,save,feels,works","money, ashamed, happy, finally, like, save, money",0.0,"ashamed,save,feels,worksmoney, ashamed, happy, finally, like, save, money"
She was very happy to have a job.,Teresa has learned to really enjoy waitressing .,Teresa got a waitressing job .,"On her first day , she found out what hard work it was .","However , at the end of the day , her tips were worth all that work .","waitressing,enjoy,learned","enjoy, found",2.0,"waitressing,enjoy,learnedenjoy, found"
Everyone liked what she gave them.,She spent most of a check getting thoughtful gifts.,Amy was the only one of her friends to have a job in high school .,When Christmas came she decided to buy her friends gifts .,"But since they had no jobs, she received nothing in return.","received,spent",,2.0,"received,spent"
He played with her hair.,She told him to stop.,He stopped it.,The girl sat in front of him.,[NEUTRAL] liked this girl .,"stopped,stop,sat,liked",liked,2.0,"stopped,stop,sat,likedliked"
Then she went to visit her grandmother in Maine .,She smelled the salt air and heard the cry of shore birds.,She loved everything about the shore.,Ellen had never been to the sea shore .,Ellen wished she never had to leave!,"smelled,wished,heard,leave,loved","cry, loved, leave",2.0,"smelled,wished,heard,leave,lovedcry, loved, leave"
"When j went downstairs to the car, there was ice all over.","When I poured hot water over it, the ice melted.",I had to go upstairs and get hot water.,There was a rainstorm last night .,The doors were frozen over.,"melted,frozen,poured","hot, hot",2.0,"melted,frozen,pouredhot, hot"
Lukas was taking a history class .,He didn't study for it at all.,He decided to study harder from then on.,"When the day of the test came , he was totally lost .",He had a test coming up.,"study,lost",lost,2.0,"study,lostlost"
Jenny did n't think her car would make the long trip .,Everything worked out and the two had a great vacation together .,Jenny had n't seen her friend in ages .,When she told her friend this he offered to come and get her.,She had two weeks vacation saved up and decided to go visit him .,"offered,saved,worked,seen","vacation, friend, friend, vacation",0.0,"offered,saved,worked,seenvacation, friend, friend, vacation"
He was going to miss his friends and might not make new ones.,His family moved an hour away to a very small town .,Cody found that in such a small town people were really nice .,He made a lot of good friends and still lives there to this day .,Cody was excited but sad because his parents said they were moving .,"excited,lives,moving,moved,said","found, good, excited",2.0,"excited,lives,moving,moved,saidfound, good, excited"
[NEUTRAL] left without paying .,Nobody caught them.,He ended up leaving too.,[NEUTRAL] and [NEUTRAL] were eating pizza .,Jake did not know what to do.,"caught,ended,know,leaving,eating",,1.0,"caught,ended,know,leaving,eating"
"When I woke up in the morning , I was exhausted .",It was delicious.,When I got up I poured some coffee.,After the coffee I got my energy back.,I couldn't think straight.,"poured,think",delicious,2.0,"poured,thinkdelicious"
[NEUTRAL] ca n't wait for next week 's class .,[NEUTRAL] loves to dance .,Her first dance class was today .,She learned how to twirl with a ribbon.,The teacher was very nice.,"twirl,dance,learned,loves","dance, dance, ribbon",2.0,"twirl,dance,learned,lovesdance, dance, ribbon"
[NEUTRAL] gave birth to a nine pound baby .,The baby became sick and had to see the doctor.,"[NEUTRAL] then   came down with a cold , and gave the cold to the baby .","The doctor treated the baby, and it got well.","Her baby was large for a newborn, and healthy.","treated,became,see,gave","baby, sick, baby, baby, baby",0.0,"treated,became,see,gavebaby, sick, baby, baby, baby"
[NEUTRAL] enjoys driving his new car .,He enjoys it so much he drives it around for hours after work .,"The next day the car would n't start , he was very angry .","He took the car to the shop, hoping they could fix it.",The mechanic was able to fix it and quickly.,"hoping,fix,enjoys,drives,start",angry,2.0,"hoping,fix,enjoys,drives,startangry"
He stopped at the gas station and bought a pack of beer.,When he got home he enjoyed his adult beverage.,He wanted to relax with a nice cold beer.,"However, he didn't have any beer at home.",Freddy had a rough day at his job .,"relax,enjoyed","beer, beer",2.0,"relax,enjoyedbeer, beer"
[NEUTRAL] sat outside and talked to him .,The dog stared at her face eagerly.,But she let her keep him in the yard for the night .,[NEUTRAL] 's heart broke to think she had to let him go .,[NEUTRAL] 's mother would n't allow her to keep a stray dog .,"stared,allow,let,keep,broke,think","broke, mother",1.0,"stared,allow,let,keep,broke,thinkbroke, mother"
Kyle became embarrassed of this weird attention.,Kyle went to a fancy dinner party for work.,His boss commented on his fancy gold watch.,Kyle 's boss was amazed and told everyone to look at his watch .,Kyle thanked him and mentioned that it was actually a fake watch .,"mentioned,commented,amazed,thanked,look","fancy, fancy, watch, watch, watch",2.0,"mentioned,commented,amazed,thanked,lookfancy, fancy, watch, watch, watch"
She asked the principal to help.,She asked them to sit.,She didn't know what to do.,A new teacher started the day .,They didn't sit.,"sit,know,started,asked",,2.0,"sit,know,started,asked"
[NEUTRAL] would throw his dog the ball all the time .,[NEUTRAL] bought his dog a new ball so they could play again .,One time time [NEUTRAL] through the ball and it went down a storm drain .,[NEUTRAL] had a dog who loved his ball .,The dog and [NEUTRAL] tried to get the ball but could n't reach it .,"reach,tried,play,loved","storm, loved",2.0,"reach,tried,play,lovedstorm, loved"
I was surprised and opened it right there.,Inside was an invitation to a party.,I went to the party and enjoyed myself a lot.,One day I went to check the mailbox .,I opened it to find a blue letter.,"check,enjoyed,opened",blue,2.0,"check,enjoyed,openedblue"
A breeze made it fly the wrong way.,She wanted to feed it bread.,Amy spotted a seagull in the sky .,"It landed by a dog, who ate it.",She threw a piece of bread towards it.,"spotted,feed,landed,threw,ate",,2.0,"spotted,feed,landed,threw,ate"
The fan kept the wave going for 5 minutes .,The fan raised his hands and ran along the stands.,At the football game a fan got excited and stood up.,All of the stands stood up to do the wave.,He ran down to the bottom of the stands.,"raised,stood,ran","football, excited, bottom",0.0,"raised,stood,ranfootball, excited, bottom"
The sand got into my lunch.,I left the beach and went home for lunch.,Today I went the beach .,I could not eat anything as it was covered in sand.,The wind started to pick up soon after I arrived.,"covered,arrived,pick,left,eat,started","beach, beach",1.0,"covered,arrived,pick,left,eat,startedbeach, beach"
The wind was whipping through the trees.,It looked like the branches were reaching down to grab me.,I ran as fast as I could to get out into the clear.,Then I woke up in a cold sweat from the nightmare I was having.,I was walking through the forest on a dark and stormy night.,"reaching,grab,woke,walking,ran,looked","like, grab, sweat, nightmare, dark, stormy",2.0,"reaching,grab,woke,walking,ran,lookedlike, grab, sweat, nightmare, dark, stormy"
"Then a person came in , [NEUTRAL] was in the wrong house !",Trevor got his new house today .,So he sat on the couch and watched TV.,He was too lazy to unbox everything.,"He moved all his boxes in, and his bed.","unbox,moved,sat",couch,2.0,"unbox,moved,satcouch"
