sentence1,sentence2,sentence3,sentence4,sentence5
The noise was so loud and he began to cry.,He was watching his first fireworks show .,His parents decided to take him home.,Justin and Tina had taken their toddler out for the day .,It was the fourth of July .
I was playing football with my friend at the park.,"When I returned the ball, it flew away from him.",It ended up hitting a lady.,He threw the ball to me and I caught it.,She immediately fell down.
He has learned the first three letters .,Today we are working on the fourth and fifth letters .,"He has been a little frustrated, but he keep on trying.",By the end of the day he had learned the new letters .,Today I have been working on the alphabet with my son .
[NEUTRAL] snuck into the garage .,"Holding his breath, he prayed the would not be found.","Suddenly, he heard footsteps approaching.",The lights switched on and the cops caught him red handed.,"Finding valuable jewels, he started putting them in his bag."
The big fire truck came to the rescue!,It put out the fire!,There was a fire in the city!,There was lots of smoke!,Everybody was saved!
After cooking he leaves the dirty dishes in the sink.,Fred comes home after work unsure about what to eat.,He is happy that he didn't have to leave the house to get food.,Fred cooks the spaghetti eats it for dinner.,He checks his cabinet and realizes he has spaghetti.
[NEUTRAL] was found shivering outside with a huge 150 pound dog .,They both thought it was a sign.,Colleen remembered dreaming about a black cat the night before .,[NEUTRAL] told [NEUTRAL] she found a tiny black kitten named [NEUTRAL] .,So [NEUTRAL] gave the orphan kitten Marie a loving home .
He called me later that night .,I gave him my number.,"On the first day of school , I saw the cutest guy .",I now have a date this weekend.,He was new at our school.
I hated seeing him stuck so I decided to help.,One year there was a terrible snowstorm .,It took all day but I finally cleared his steps and driveway .,[NEUTRAL] [NEUTRAL] lived next door .,It was easier for him to stay in than to risk his health shoveling.
The one I found was too small.,I looked for a blanket.,I found a bigger blanket.,I covered myself with the blanket.,It was cold in my house.
He attended a driving school.,"There, they taught him how to drive well.",He passed it on the very first try !,Then he went to take his road test.,[NEUTRAL] wanted to drive badly .
"I was really hungry, so I decided to make a snack before we left.",I ended up burning my sandwich after putting it in for 10 minutes .,"When I was a teenager, my mom and I were going on a shopping trip.","I put a ham and cheese sandwich in the microwave, and asked how long.","Mom thought I meant how long before we left , and said 10 minutes ."
The building owner told her it would be over a month for repair .,One day there was a fire in the building her shop was in .,Amy was disappointed to miss out on a month 's worth of business .,She had to close the shop to await repairs.,Amy had been running a cupcake shop for a year .
[NEUTRAL] jumped as the lion opened its mouth wide .,[NEUTRAL] was at the zoo with his daughter Lydia .,"Suddenly, the lion charged at the glass.",Everyone laughed as the lion hit the glass and ran in pain.,He was taking a picture of her standing in front of the lion cage.
He walked home.,[NEUTRAL] walked down the street and crossed it .,He read the paper.,He ordered an ice cream and ate it.,He walked three more blocks to an ice cream store .
I never think about it when I am out.,I am afraid I may lose them if I do not.,I hope I remember.,I am going to print a few tomorrow .,I have so many pictures that I need to develop.
And the glitter got everywhere in the house.,She made a hat to wear and put glitter all over it.,She liked the glitter and put it on everything.,But she didn't use that much glue.,Alice loved to do arts and crafts.
So [NEUTRAL] got it done in an hour .,But his dad promised him they would go to the movies if he did it.,Andrew was sleepy and hated to do this.,Him and his dad went to the movies after.,[NEUTRAL] 's dad woke [NEUTRAL] up early to rake the backyard .
She was shocked and from then on always conserved energy.,[NEUTRAL] always left the lights on in her room .,They showed her the high electric bill.,She left them on even when she wasn't there.,Her parents told her that she shouldn't do that.
[NEUTRAL] came home one day from a jog .,It worked just as well and he smelled like clean dishes.,He smelled bad so he went to take a shower.,He decided to use dish soap instead.,[NEUTRAL] did not have any more shower gel .
I noticed a VHS was in it and wondered if it was from a robbery.,We came upon a VCR hidden under some leaves.,A bunch of spiders started to pour out of the VCR.,A friend and I were walking through a wooded area.,I threw it back down and we ran away.
When she tried it she loved it.,[NEUTRAL] decided to go to the new pizza place down the street .,She wanted to go everyday .,Kelly thought it was amazing.,It was so good she went back.
Her boyfriend moved across the country.,She loved him and didn't want him to leave.,She decided she was brave enough to get on a plane.,Ana had never flown on a plane.,She cried and cried.
The baby would not stop crying.,The baby fell back asleep.,The rest of the house could not go back to sleep.,The mom finally decided to give it a bottle.,It woke up the entire house.
I thought she had bad breath.,I woke up at 7 am .,I rolled over to hug my wife.,I opened my eyes and it was my dog.,He had really awful breath.
He proudly got into the front car with his dad.,Last year [NEUTRAL] was an inch too short to get on the big coaster .,He couldn't believe how much fun it was!,This year when he walked up to the measuring stick he was tall enough .,He rode it four times that day .
[NEUTRAL] was a quick learner .,Everyone else in her family did too.,[NEUTRAL] loved cooking .,Her grandmother was teaching her family recipes.,Eventually she learned everything there was to teach.
He thought they were all mean.,One day he went to his friend 's house .,He didn't think dogs were mean anymore.,He played with their dog for an hour .,[NEUTRAL] was afraid of dogs .
That convinced other people wear a seat belt.,He hit another car.,The man put on his seat belt.,His seat belt saved him.,He told everybody he met about the belt.
I went back to the rat to see if it was still on the wall.,As I got to the window the rat jumped down and ran off.,One day I was in the kitchen washing dishes .,"I looked out the window and saw a rat sitting on the wall, looking in.","I ran to grab my phone to take a picture, but the battery was dead."
She made it.,She told her friends.,They were happy for her.,Tina was happy .,Tina tried out for the swim team .
The coach had Fred shoot that shot he missed one hundred times .,He felt awful and sulked for a week .,Since then [NEUTRAL] has never missed that shot in a game !,Fred missed the winning basket during the basketball game.,Finally the coach told him to snap out of it and stay late today .
He decided to put on a scarf over his eyes.,Liam was a very funny guy .,Everyone thought that was a part of the gag and laughed.,Liam unfortunately suffered from stage fright.,He decided to try his hand in stand up comedy.
He is speeding down the highway.,He is going way too fast.,Ian just bought a brand new car.,He pulls over to the side of the road and waits for help.,Ian see's his car start to smoke.
"Even though the other kids had money , they were n't as happy as [NEUTRAL] .",[NEUTRAL] used to get made fun of at school for being poor .,One day she was asked why she is always happy even without money .,She said she appreciates the many little things in her life.,Now she is no longer made fun of at school.
[NEUTRAL] 's favorite team wins .,Jim wants to take his son to a ball game .,[NEUTRAL] buckels his son in the car .,They drive to the game.,[NEUTRAL] and his son enjoy the memories for years .
She was very glad when they left the zoo.,[NEUTRAL] almost threw up from looking at the turtles .,[NEUTRAL] hates turtles .,They saw many turtles.,Allison 's class went on a field trip to a zoo .
One day he won two tickets for entry .,Alissa hated disney .,He ended up going alone.,Felix wanted to go to disney world.,He invited his friend [NEUTRAL] .
She ran out of bubble soap last night .,She could n't take a bath tonight .,She takes one every night .,[NEUTRAL] loves taking baths .,She took a shower instead.
I walked into my kitchen and began to look for a snack.,Suddenly I saw a rat running through my cabinet.,I closed the cabinet and quickly called an inspector.,"After the inspector arrived and killed the rats, I felt very happy.",I got up from a nap feeling very hungry.
"However , my sister talked to me about her during the next day .",I left work early to go comfort her.,She told me that she recently found out that she's pregnant.,She said that my cousin was faking the results.,My cousin called me while I was at work.
He was nervous about his grade.,[NEUTRAL] had just taken a test .,He had gotten an A!,[NEUTRAL] went out to celebrate .,He thought about it until he got his score the following week .
It was [NEUTRAL] 's birthday and she decided to go to Miami .,The trip was amazing and there was no trouble whatsoever.,She decided to get a bunch of friends together for the trip.,They all flew first class together .,[NEUTRAL] could n't wait to go back .
I had to wave over Someone to help me back to shore.,I decided to go in a bit in my pants.,The tide drew me out,I was at the beach last summer .,Before I knew I couldn't feel the ground.
Andrew was glad his trash was taken out.,He took it to his trash can to throw out.,So [NEUTRAL] took out the trash bag .,[NEUTRAL] 's trash can was full .,Andrew put a new trash bag in the trash can.
"[NEUTRAL] finally got a vacation from work , so he went fishing .",He kept getting calls from his wife asking if he caught anything.,He spent half the day out on the lake but had no luck .,[NEUTRAL] ended up catching three fish in one hour which made him happy .,He decided to switch bait for the last hour or so of fishing .
[NEUTRAL] went to a friends house .,[NEUTRAL] decided to clean up his own house .,His mother was happy that she finally had a lovely house.,[NEUTRAL] went with his mom .,His mom always said that his friend had a lovely house.
Brooke called and asked where she was .,[NEUTRAL] was at the wrong restaurant .,She got to the restaurant first .,She went ahead and ordered a drink.,[NEUTRAL] was meeting her friend at a Mexican restaurant for dinner .
Molly was driving her parent's car very fast.,A cop pulled her over.,The cop turned out to be her father.,He grounded Molly for a week .,She passed a stop sign.
She was very nervous about her first day at school.,She had to go to a new school and make new friends.,"When [NEUTRAL] was ten Year 's old , her family moved .","At lunch, she asked a group of girls if she could sit with them.","The girls were funny and cool , and [NEUTRAL] felt better !"
[NEUTRAL] wanted to compete in a race .,[NEUTRAL] came in third place !,Then she entered a race.,Soon she was faster and faster.,She started running on her own.
He got off work and was stuck in rush hour traffic.,He sat in traffic for over an hour .,Fred went to the city for the weekend .,He wanted to spend time with friends.,He decided to just go home and sleep instead.
Then he fixed his car without getting dirty hands.,[NEUTRAL] wanted to fix his car .,He did not know what to do.,He decided to buy some gloves.,But he did not want to get his hands dirty.
My son needed to brush his teeth.,I grabbed a new one from the drawer.,His toothbrush was very dirty.,My son brushed his teeth before bed.,I threw the toothbrush away.
"When we got there, we realized the dogs were quite attached.",My mother wanted a new dog.,"He told us to come by his home , because he had two left .",We called a gentleman who was selling [NEUTRAL] [NEUTRAL] .,We ended up taking them both home!
[NEUTRAL] was watching her little brother [NEUTRAL] play soccer in the park .,She nursed [NEUTRAL] 's bruised leg .,[NEUTRAL] tripped and fell on the grass .,He got up and limped across the field.,[NEUTRAL] placed her arm around [NEUTRAL] .
She named her [NEUTRAL] .,Lily was orange and fluffy.,Julie bought a cat today .,[NEUTRAL] was happy to finally have a pet of her own .,Julie is excited to have [NEUTRAL] in her life .
One day a car almost hit him .,[NEUTRAL] did n't care .,[NEUTRAL] never danced in the street again .,His mother said it was dangerous.,[NEUTRAL] loved dancing in the street .
[NEUTRAL] was at lunch with his friend [NEUTRAL] .,[NEUTRAL] [NEUTRAL] [NEUTRAL] 's soda can vigorously .,When [NEUTRAL] came back from the restroom he opened his can .,The can sprayed everywhere [NEUTRAL] looked suspiciously at [NEUTRAL] .,[NEUTRAL] got up to use the restroom .
Daniel and [NEUTRAL] both began to like each other .,Daniel met a pretty girl named [NEUTRAL] .,They talked for hours and hours .,Daniel was glad that he made a new friend.,He decided to talk to her.
[NEUTRAL] is very funny .,When we first met he said he his oven self cleaned .,He hasn't lived that one down yet.,He actually thought that he cleaned itself.,I thought all ovens self clean with help.
She said it was because [NEUTRAL] kept eating the food .,"He said it was because his wife , [NEUTRAL] , kept buying food .",[NEUTRAL] ate a lot and got fatter and fatter .,I asked [NEUTRAL] why she bought so much food .,I asked him why he ate so much.
I was glad I called in a professional so I did not get hurt.,I have and electrical outlet that does not work.,I tried to take it apart and fix the problem.,The outlet still did not work so I called a professional.,The outlet cost me forty dollars to have fixed correctly .
It was bedtime at our house.,For two hours he continues to get out of bed and want to play .,Finally he becomes tired and falls asleep.,Two of the three kids hit the pillow and fall asleep .,The third is a trouble maker .
We saw a baseball game was happening.,We drove to the stadium.,My friends and I wanted to do Something.,"We sat and watched the game, but we thought it was boring.",We went inside and bought hot dogs.
She went to the shop to get it fixed.,They told her it could not be fixed.,She used it as an excuse to buy a new car.,Cassie was very happy.,Cassie's car stopped working.
In 1998 we set off fireworks by the pond where we live .,We ran home and stayed quiet until the police left.,We saw a police car across the pond.,It flashed its lights and started around the pond.,It was July 4th .
"I received a call from her, and found out that she can't pick me up.",I accepted her offer and I ended up reaching home quickly.,My teacher who drove across me stopped.,She offered me a ride home.,I was waiting for my dad to pick me up from my after school program.
He would try to put it on himself but usually needed a little help.,He spun around and around as he tried to grab the other sleeve.,He got one sleeve on easily .,1 1/2 year old [NEUTRAL] loved to wear his jacket .,His mom helped him grab the jacket and he finally got his jacket on.
So [NEUTRAL] and his family were going to church .,But [NEUTRAL] knew he would be bored .,And he played games on it while at church.,It was Sunday .,So [NEUTRAL] bought his phone .
He noticed it could be combined with other sales.,[NEUTRAL] spotted a sale on the item near by .,[NEUTRAL] got a coupon in the mail that caught his eye .,With combining the coupon [NEUTRAL] basically got it for almost free .,He looked for more coupons to get more items.
[NEUTRAL] and [NEUTRAL] never had another hot dog after that day .,"Luckily, there was a man selling hot dogs out of a cart.","One day , [NEUTRAL] and [NEUTRAL] went to the beach .",They went to the beach early in the morning and grew hungry quickly .,They both had eight hot dogs and began to feel very sick .
I decided I needed a shower before dinner.,"After I was done, I was clean and feeling great.",It had been a long day of working outside .,"After disrobing, I stepped into the shower.",I washed all the part of my body.
I went to her family's house to visit her.,She stayed with her family.,My friend [NEUTRAL] came to town for a visit .,I felt like I had made a new friend.,Her sister sat with us and talked all night .
He ended up getting so tied up that he could not get free.,One day [NEUTRAL] got all caught up in some string while he was playing .,"[NEUTRAL] 's cat , [NEUTRAL] , loved playing with string .",[NEUTRAL] had to cut the string to get him untangled .,[NEUTRAL] [NEUTRAL] did not want to play with string anymore .
His wife could not fix it.,He asked his wife to fix it.,It ripped in the armpit.,The man put on his shirt.,He threw away the shirt.
He was happy.,He was working since 11 am .,"Since then , he has been working on and off all day .",[NEUTRAL] was working on [NEUTRAL] .,He made $ 100 in 12 hours .
Olivia 's baby son needed an x - ray .,Olivia felt so sad watching him cry .,The nurses comforted her while they took the picture.,"To get a clear picture, they had to strap him down.",As soon as he was done she gave him a big hug.
I had to take my new phone to get fixed.,I was texting with my phone.,I dropped my phone.,Today I got a new phone .,My phone cracked.
He asked the waitress why she works there.,"In addition, he said he was disappointed in her.","Luckily, she was patient and treated the man with respect.","However, an angry man approached us.",The waitress served my food to me.
He walked into the kitchen.,[NEUTRAL] was thirsty .,[NEUTRAL] drank the water .,[NEUTRAL] was n't thirsty anymore .,He filled a cup with some water from the sink.
"He came upon a group of friends, and enjoyed their company.",He then continued on his way home.,Tre stopped by the store and bought a soda and some skittles.,Tre went out for a pleasant walk in the evening air .,"It was a perfect evening , and [NEUTRAL] felt very happy ."
The bus driver kept the door closed till the police came.,A person bumped into me.,I was riding on the bus today .,I screamed to the bus driver to not let him off.,The person who bumped into me started to hurry off the bus with my pur
On the way to his apartment the elevator got stuck.,Eventually we had to cancel our plans.,He came down and kept me company while it was being fixed.,It took over an hour .,Last week I was visiting a friend .
Eventually he worked off all of the weight he gained.,Eventually he started to gain more weight than he wanted.,[NEUTRAL] began visiting the gym every day .,His friends suggested that he started exercising.,[NEUTRAL] did n't get very much exercise .
We took off and my stomach dropped.,When I sat in the car I was getting scared.,I went on space mountain ride yesterday .,We went so fast I wanted it to be over.,Thankfully the next minute it was over.
He got a new hat.,It was [NEUTRAL] 's birthday .,He got a new shirt.,His favorite gift was the radio that made him jump for joy!,He couldn't wait to see his presents.
"By the time the floor was clean, the pan was ready.","While he waited for the pan to warm, he juggled with the eggs.",After a few tosses he dropped an egg on the floor.,[NEUTRAL] cleaned up the mess .,[NEUTRAL] took out some eggs and heated up a pan .
[NEUTRAL] kept letting him win .,His friend was a sore loser.,At one point [NEUTRAL] beat him .,[NEUTRAL] was playing videogames with a friend .,[NEUTRAL] 's friend became visibly upset over it .
"He learned that his friend was nervous too, that made him feel better.",Tyler was so nervous to start his first day of middle school .,When the big day came he got on his bus and sat with a friend .,Tyler ended up having a wonderful first day of school after all.,He went home and told his mom he had been nervous for nothing!
"[NEUTRAL] took her car to The Tire Store , and they checked the tire .",She had to put extra air in the tire 3 times in 1 month .,[NEUTRAL] noticed her car 's front left tire was looking very low in air .,"The tire had an air leak, and mechanic fixed the tire.","[NEUTRAL] took the car home , happy they fixed the tire leak ."
I turned twenty years old .,My girlfriend didn't realize it was my birthday.,I realized she was not worth the time so I dumped her.,I tried to drop hints but she didn't get the message.,Then I shouted at her for not remembering my birthday.
Spot pulled Amy into the grass pulling her to the ground .,Amy decided not to walk Spot on roller blades again .,Amy was on her roller blades as she held Spot 's leash .,Spot began to pick up speed and jog.,Amy and her rottweiler Spot were at the park .
I bought a new necklace for my wife.,My wife thanked me many times and made me dinner.,It was a valentine 's day present .,She loved it very much.,I was glad that my wife was happy.
There were even days we had to stay inside .,The weather has been so hot this summer .,The kids are dying to go out and play.,I had to put the air conditioner on a lot.,I hope it starts to cool.
And he agreed!,Mina wanted a cat.,The next day they went car shopping .,Mina loved her new kitty!,She asked her dad if she could get one.
My daughter woke up with a bad one this morning .,A rotten attitude is a bad thing to have.,I told her I had a surprise for her.,Only then did she calm down and listen to me.,She cried for about ten minutes .
It wound up ruining his cookies and angering his girl.,[NEUTRAL] was trying to bake some cookies .,He wanted to surprise his girlfriend.,He tried to replace them with similar ones.,He didn't have the right ingredients.
I picked up one bag and brought it to the can outside .,It took me twenty minutes before all the bags were gone .,I looked at my house and it was much cleaner.,I noticed that my house was filling up with trash bags.,I decided that I needed to take my trash out.
The weatherman was calling for snow when he went to bed.,"He had gotten his sled, too.",So he was really hoping it would be a white Christmas .,The next morning he woke up to snow on the ground .,[NEUTRAL] has asked Santa for a sled for Christmas .
[NEUTRAL] had his first day in elementary school .,He told him to leave him alone.,[NEUTRAL] thought he was really annoying .,He wanted to be [NEUTRAL] 's friend .,There was a kid there who kept following him.
The little girl was blind!,[NEUTRAL] decided it 'd be cool to have a blind friend .,They had a little girl.,A new family moved in next door to [NEUTRAL] .,"When [NEUTRAL] went to meet her , he found Something strange ."
The three kids went to the playground and played hoops for an hour .,The three boys became the best of friends that first day .,[NEUTRAL] was excited that a new family was moving in next door .,[NEUTRAL] invited them over for dinner since they had n't unpacked boxes .,He took his basketball over when he saw there were two boys .
Swimming was Something you never forgot!,Kev had learned to swim the summer he turned eight .,But then he jumped in and saw it was just like riding a bike.,He thought he must have forgotten how to swim.,"The next year , he went back to the pool , afraid !"
Now [NEUTRAL] has fresh new socks for the gym .,[NEUTRAL] notices that his gym socks are becoming smelly and worn .,"When he goes to a store, he finds socks for a very reasonable price.",He decides to buy new gym socks.,He feels great when he throws out his old gym socks.
He bent down and reached into the cage.,The puppy licked [NEUTRAL] 's hand and wagged his tail happily .,His dad took him to the pet store.,[NEUTRAL] wanted a pet .,[NEUTRAL] saw a black puppy in the cage .
I asked the kids where they left it.,I looked all over the living room for the remote.,I came in from work and wanted to watch TV.,None of the kids knew where the remote was.,My dog then ran through the room carrying the remote in his mouth.
The cookies were perfectly baked!,She made a batch of chocolate chip cookie dough.,[NEUTRAL] loved to bake cookies .,She rolled the dough into balls and put them in to bake.,"After twenty minutes , the scent of cookies filled the house ."
"When she got to the park, it stopped raining.",She got an umbrella before heading out.,[NEUTRAL] wanted to go to the park .,[NEUTRAL] was glad .,It was raining hard.
Everyone was happy with the way things worked out!,Then [NEUTRAL] 's grandma bought herself a puppy !,"[NEUTRAL] still got to see the dog a lot , but did n't have to care for it .",[NEUTRAL] wanted a dog .,"He begged his mom and dad, but they said he was too young."
He finally told his mother about what he did.,His guilt kept him up at night .,Shane knew he was wrong but felt relieved after confessing .,He did n't tell anyone at first but he felt horrible .,Shane stole a game from the store .
They told me I was speeding and I apologized.,I pulled over and cops walked to my window to my surprise.,They gave me a warning and then let me go.,I was driving to my friends house one day .,"While driving on the road, I saw flashing lights."
The cat jumped down the tree.,[NEUTRAL] said she 'd help her .,Debra was looking for her cat.,[NEUTRAL] climbed up the tree but fell .,The cat was on a tree.
They were filled with caramel.,The kids licked the bowl clean.,She made a batch of brownies for her kids.,They loved when their mom baked for them!,Tara loved to bake .
He was so starstruck he couldn't even say hi as she walked away.,All of sudden a girl with blonde hair and ripped jeans stepped out.,[NEUTRAL] was at the mall with his friends .,[NEUTRAL] fell in love instantly as she walked past .,He was waiting in line for the photo booth.
Alice had so much fun with him !,The kitten played with it for hours .,Alice had a new kitten .,It had feathers all over it.,She bought it a fun toy.
I was never scared at a horror movie again.,I brought friends with me the next time I went to the theater.,I got so scared that I ran out of the theater.,I went to go see a horror movie alone.,I never wanted that to happen again.
She got an A grade.,[NEUTRAL] did not feel good this morning .,She went to school to write a math test.,[NEUTRAL] was happy .,"Even she did not feel good, the test went well."
I realized I didn't remember anything on the test.,Today I had a history test .,I sat down to take my test.,"I tried my best, but I think I failed.",I arrived just in time.
"Afterwards, the construction project was finished.",The dirt fell onto the construction project.,[NEUTRAL] is an experienced crane operator .,[NEUTRAL] had to help clean up the mess .,"One day at work , she picked up too much dirt in her crane ."
"When summer comes he has $ 20,000 for a paint job on his show car",When [NEUTRAL] wins first place he recovers the money he spent on paint .,He gets the paint job on his classic car.,[NEUTRAL] saves up his money all winter .,[NEUTRAL] enters his car in a local auto show that summer .
I've always wanted to ride on a river boat.,The kind with the big water wheel that went on the Mississippi river .,I'm saving my money to ride one if I ever get the chance.,I saw one once in an old movie .,I guess the water wheel doesn't change much but I bet it's more quiet.
The thief eventually lost them.,"Instead of chasing him, the cops tried to drive there.",He ran towards the back door since no one was there.,The thief told the cashier to give him all the money in the machine.,"As soon as he received it, the cops broke into the bank."
The problem was that it was covered with leaves.,He got his children to help him take out the leaves before school.,He paid his children $ 20 each .,[NEUTRAL] decided that it was time to take photos of his driveway .,It took them 2 hours but they bagged all of the leaves .
"With difficulty, he landed the new fish, and caught lunch after all.","After some time, he got a bite.",A man went fishing in a small pond to catch a meal.,"The fish jumped, and he saw that it was too small to eat.","A larger fish came, though, and swallowed the smaller fish whole."
[NEUTRAL] loved to go to the cabin .,His family went there every summer .,This summer when they arrived at the cabin .,He cut down a tree and fixed it.,[NEUTRAL] seen there was a hole in the wall .
She came home from school and happily found the cat.,They told her they'd think about it.,She asked her parents for a cat.,The decided to surprise her and got her a cat.,[NEUTRAL] always wanted a cat .
He was so happy when he made it!,[NEUTRAL] 's dad had to buy him a new one .,His bat snapped in half .,"But his first practice , he swung too hard .",[NEUTRAL] tried out for the baseball team .
It hurt his foot.,His son had left the blocks all over the room.,Jonah's son had been playing with his building blocks.,Jonah threw all the blocks away.,Jonah stepped on a block.
My instructor told me to wash my hands before going to the kitchen.,I put on my apron and gloves for safety.,I placed it in the pot and added it with salt and pepper.,He showed gave me some raw macaroni to boil.,"20 minutes later , I took out the pasta and it came out cooked ."
A friend of mine met a man on the web from Africa .,"He promised to love her, marry her and care for her kids.",She sent him a lot of money on the promise he would marry her soon.,When she ran out of money he changed his number.,"He was friendly, charming, handsome and she fell head over heels."
"Once the errands were done, the dogs were not happy to go back home.","Since she had errands to run today , she took them along .",Both of the dogs put their heads out of the window to feel the air.,[NEUTRAL] 's two dogs love to ride in in her car .,The weather was very nice so [NEUTRAL] opened the windows for them .
When I try to brush him he tries to eat the hair that brushes off.,I find dog hair everywhere it seems.,So last night I tried while he was asleep .,"It worked, and I think I can craft another dog with the hair.",My dog sheds a lot.
[NEUTRAL] watched them everyday and was proud of them .,They grew so much the weight of the flowers made them fall over broken.,"[NEUTRAL] never had grown anything before , he planted seeds for sunflowers .",Eventually they became so tall they were 7 ft tall .,[NEUTRAL] was so excited when they grew .
An alarm next door had gone off.,[NEUTRAL] went back to sleep as the alarm had finally stopped ringing .,The alarm went off again and woke [NEUTRAL] .,[NEUTRAL] had gone to bed .,A short time later he was woken by a loud sound.
The dog licked her face and wagged his tail.,She saw all of the animals and got excited.,Molly bought the dog and brought him home.,Molly went to the pet store.,She picked out a dog that she thought was cute.
Someone stole him from our house.,One day we left him outside .,We never found him.,I loved him so much.,Lucky was my first dog .
And she forgot to turn on her heater.,"When she woke up, she had a sore throat.","From then on , [NEUTRAL] always remembered to turn her heater on .",[NEUTRAL] fell asleep during a cold night .,And she felt sick.
They decided it would be a good idea to head over to the zoo.,It was [NEUTRAL] 's fifth birthday and her parents decided to take her out .,[NEUTRAL] 's favorite animal was the tiger .,None of them wanted to leave it was so much fun.,The three of them had so much fun looking at the animals .
She got the waffles and syrup.,There are lots of Roadside choices when driving.,The waiters were nice.,[NEUTRAL] decided to stop at a pancake place .,She left them a big tip and went on her way.
The cones were delicious and soft as butter.,We found a new snocone store.,We woke up our boy and went to get snow cones.,We looked online for Something to do.,I asked my husband to go out with me.
[NEUTRAL] was on her way to work .,"However, she missed her mouth and it dropped to her pants.",She was wearing white pants.,"When she stopped at a light, she took a drink of coffee.",Luckily she had stain remover.
Vince decided not to clean his room at all .,His parents asked him to clean his room before he can go.,His parents explained that he can't go to the party.,Vince wanted to go to the party on Saturday night .,Vince stayed home and cleaned his room on Saturday night .
"But when they handed it to him , [NEUTRAL] spilled it everywhere !",[NEUTRAL] eagerly said he could drink from a soda can easily !,[NEUTRAL] was riding in the car with his parents .,He told them he was very thirsty.,"They had forgotten his sippy cup, but the asked if he could use a can."
I built a snowman and an angel.,It was really cold.,I got to play in the snow.,Today we had a snow day .,I enjoyed playing in the snow today .
"Luckily , [NEUTRAL] 's original friends were still there .",They did not want her as a friend.,[NEUTRAL] always tried to make friends .,She wanted to be friends with everyone.,"One day , she tried to be friends with a close knit popular group ."
One night Danielle met [NEUTRAL] at the club .,Danielle loved dancing .,They danced together all night long .,She liked going to clubs to dance.,Then [NEUTRAL] asked him to date her .
"He played on the school team in the 4th , 5th , and 6th grade .",Jake was surprised when his dad's name was on the card.,Jake's dad had his own basketball card when he was a professional.,"Yesterday , he looked through his dad 's old basketball trading cards .",Jake's favorite sport was basketball.
"The dog ran away, scared.",She jumped up onto our chair.,The cat woke up angrily and hissed.,My cat was sleeping in my lap.,The dog ran into the room
"He woke his wife to tell her, she then broke the news to him.","[NEUTRAL] woke up the next morning , realizing he never fed the baby .",Every night they were rotating who would feed her at 3AM .,One night [NEUTRAL] was very ill and his wife took care of the baby .,[NEUTRAL] and his wife [NEUTRAL] had just had their first child .
"On top, he asked for some candy bits.",He ordered two scoops of chocolate .,Fred wanted ice cream.,He took his ice cream and ate it.,He drove to an ice cream shop.
He accidentally tripped on one of his shoelaces!,He cried out of embarrassment.,He was walking up the stairs.,[NEUTRAL] fell on the stairs .,[NEUTRAL] 's shoes were untied .
"She didn't have enough money to buy her own, though.",Tina wanted to ride motorcycles .,She started dated the man.,He let her ride the bike any time she wanted.,She met a man at a bar that owned one.
The dog was really happy and Erin decided to keep it .,Erin took the dog home and began to feed it and wash it .,He found a little stray dog who looked hungry.,Erin now goes to the park on weekends with his dog.,Erin was walking home from school one day .
Every time he checked his watch he thanked his cows for the milk.,With the extra money the man bought another cow.,The cow made so much milk that the man sold off the extra.,Now the man used some of the extra milk to buy a gold watch.,A man loved milk so much he bought his own cow.
He was vomiting and running a very high fever.,"[NEUTRAL] actually wished he could have been in school , instead of ill !",He wished for a hurricane or a snowstorm.,[NEUTRAL] wanted a day off school .,But then one morning he woke very ill !
[NEUTRAL] got to see the baby elephant splash in the rain puddles .,[NEUTRAL] was excited for the weekend .,Unfortunately it started raining Saturday morning .,[NEUTRAL] 's father took him to the zoo anyways .,His father had promised to take him to the zoo.
He won 500$.,[NEUTRAL] wanted to go on a road trip .,He didn't have enough money to go.,One day he bought a scratching ticket .,[NEUTRAL] ended up going on a road trip .
[NEUTRAL] was waiting at the Nepalese restaurant for her order .,"[NEUTRAL] took her food and thanked the restaurant owner , and left .","[NEUTRAL] was about to call him back , but then her food was ready .",She saw that she had one missed call from her boyfriend .,"As [NEUTRAL] waited , she checked her phone ."
She passes by all the other racers.,Chelsea takes the lead and never looks back .,Chelsea wins the race .,She is running as fast as she can.,Chelsea is competing in a race .
I force myself to wash them all.,The dirty dishes have piled up in the sink.,"Soon, I won't have any clean ones left.",I hate to hand wash dishes.,My dishwasher is broken.
They all baited their hooks.,They decided to try more tomorrow .,Only one person caught Something .,They were going fishing.,The family went down to the river.
"On Saturday , [NEUTRAL] went to the rescue center to adopt a pet .",The first animal she saw was a little black and white puppy .,[NEUTRAL] knew instantly that she loved this little puppy .,She filled out the paperwork and took the puppy home.,She picked up the tiny dog and it licked her face.
Her mom drove her to the hospital.,June fell out of her tree house .,They could see that she had a broken arm.,Her arm really hurt.,They did an x-ray.
Her mom baked her a fancy cake.,Her big brother had put trick candles on her cake.,It was Jilly 's 5th birthday .,"When it was time to blow out the candles, she couldn't.",It looked like they were going to go out but then they stayed lit.
Tiffany was hoping to get flowers for Valentine 's Day .,"Tiffany thanked him for the gifts, but was secretly sad.","Instead, he got her some chocolate and a card.",Her boyfriend never found out her true feelings.,Her boyfriend didn't know that's what she wanted.
